title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
"1,000 Times Good Night",5284200,47331,7.1,57,4285,,24/10/2014,117,87,25,356,232,71.2,60.6,9,4,40,30,8,7.2,74,57,74,57,74,66,9,7,9,7,9,8,74,57,131,114,65.5,61.5,9,7,16,14,8,7.5
10 Cloverfield Lane,15000000,71897215,7.2,76,24702752,PG-13,11/03/2016,104,93,13,341,95,85.25,54.25,9,1,35,11,8.75,7.25,76,76,76,76,76,76,8,8,8,8,8,8,76,31,152,79,76,54,8,4,16,9,8,6.5
13 Hours: The Secret Soldiers of Benghazi,50000000,52822418,7.3,48,16000000,R,15/01/2016,144,96,7,391,112,78.2,51,10,3,44,20,8.8,7,65,28,65,28,65,42,9,4,9,4,9,6,74,48,122,96,61,54.5,7,7,14,14,7,7
1971,0,0,7.3,73,0,,06/02/2015,79,73,73,292,292,73,73,8,8,32,32,8,8,78,73,78,73,78,76,8,7,8,7,8,8,79,73,157,146,78.5,76,8,7,16,15,8,8
20th Century Women,7000000,5663855,7.4,83,130467,R,28/12/2016,119,93,18,428,147,85.6,59.8,9,1,43,19,8.6,6.8,83,59,83,59,83,73,8,7,8,7,8,7,83,59,83,59,83,73,8,7,8,7,8,7
21 Years: Richard Linklater,0,0,6.6,51,0,,07/11/2014,78,92,1,334,123,83.5,60.25,9,1,35,15,8.75,7,51,51,102,102,51,51,6,6,12,12,6,6,51,51,102,102,51,51,6,6,12,12,6,6
22 Jump Street,50000000,191616238,7.1,71,57071445,R,13/06/2014,112,87,8,255,46,85,54.6667,10,1,29,10,9.6667,7,83,56,83,56,83,68,10,5,10,5,10,8,79,16,150,87,75,64,9,3,17,11,8.5,8
23 Blast,1000000,485128,6.4,45,79312,PG-13,24/10/2014,98,77,22,201,95,67,50.6667,9,3,24,11,8,6.6667,89,27,89,27,89,57,9,3,9,3,9,7,45,45,90,90,45,45,4,4,8,8,4,4
3 Days to Kill,28000000,30688364,6.2,40,12242218,PG-13,21/02/2014,117,86,20,402,127,80.4,55.8,9,3,43,22,8.6,7,65,22,65,22,65,44,9,5,9,5,9,8,82,25,124,65,62,46,10,3,20,9,10,8.5
300: Rise of an Empire,110000000,106369117,6.2,48,45038460,R,07/03/2014,102,95,23,393,159,78.6,49.4,9,1,43,22,8.6,6.8,57,48,57,48,57,53,7,6,7,6,7,7,76,33,139,73,69.5,51.5,9,6,16,12,8,7
31,1500000,779820,5.1,35,2603,R,21/10/2016,102,71,19,243,159,48.6,41.4,9,5,36,30,7.2,6.6,77,31,77,31,77,48,8,5,8,5,8,6,77,31,77,31,77,48,8,5,8,5,8,6
45 Years,0,4250507,7.1,94,65775,R,23/12/2015,95,94,26,470,193,94,65.8,9,3,40,25,8,6.6,94,81,94,81,94,88,8,7,8,7,8,8,94,81,188,175,94,91,8,7,15,14,7.5,7.5
5 Flights Up,6000000,1013061,6.2,55,238491,PG-13,08/05/2015,92,100,18,419,112,83.8,55.6,10,1,44,15,8.8,7,62,45,62,45,62,55,9,7,9,7,9,9,62,22,117,77,58.5,50.5,9,7,16,14,8,8
5 to 7,0,116400,7.1,52,18006,R,03/04/2015,95,86,26,393,208,78.6,59.8,9,3,43,28,8.6,7.6,56,52,56,52,56,53,9,5,9,5,9,8,56,52,56,52,56,53,9,5,9,5,9,8
52 Tuesdays,0,0,6.3,71,0,,27/03/2015,109,71,67,355,347,71,70.2,7,6,35,33,7,6.8,71,57,71,57,71,64,7,7,7,7,7,7,71,71,142,142,71,71,7,7,14,14,7,7
7 Chinese Brothers,0,0,5.6,56,0,,28/08/2015,76,88,12,306,133,76.5,58.25,9,1,31,16,7.75,6.25,67,53,67,53,67,61,9,5,9,5,9,8,67,53,67,53,67,61,9,5,9,5,9,8
90 Minutes in Heaven,5000000,4700361,4.7,28,2035273,PG-13,11/09/2015,121,86,18,315,150,63,45.8,9,1,35,9,7,5.2,71,25,71,25,71,45,8,1,8,1,8,5,71,25,99,53,49.5,36.5,8,1,9,2,4.5,3
99 Homes,8000000,1410915,7.1,76,32253,R,25/09/2015,112,85,16,218,74,72.6667,50.3333,10,4,25,15,8.3333,6.6667,89,61,89,61,89,78,9,6,9,6,9,8,89,61,178,122,89,78,9,6,18,12,9,8
A Ballerinas Tale,0,96900,6.4,55,9388,,14/10/2015,85,55,55,275,275,55,55,5,5,25,25,5,5,81,55,81,55,81,69,7,5,7,5,7,7,,,,,,,,,,,,
A Bigger Splash,0,1982505,6.4,74,114419,R,04/05/2016,125,95,12,425,175,85,64.8,9,3,41,22,8.2,6.8,98,74,98,74,98,84,7,7,7,7,7,7,74,45,74,45,74,56,7,6,7,6,7,7
A Birders Guide to Everything,0,0,6.3,61,0,PG-13,21/03/2014,86,79,37,275,162,68.75,56,10,3,32,19,8,6.5,61,53,61,53,61,57,6,6,6,6,6,6,61,31,122,84,61,51.5,6,6,12,12,6,6
A Borrowed Identity,0,281059,7.3,73,23798,,26/06/2015,104,85,39,378,270,75.6,66.6,10,3,41,26,8.2,6.4,74,39,74,39,74,64,8,6,8,6,8,7,,,,,,,,,,,,
A Brave Heart: The Lizzie Velasquez Story,0,0,7.2,70,0,PG-13,25/09/2015,78,,,,,,,,,,,,,70,70,70,70,70,70,6,6,6,6,6,6,70,70,70,70,70,70,6,6,6,6,6,6
A Brilliant Young Mind,0,139511,7.2,65,31408,PG-13,11/09/2015,111,84,33,397,207,79.4,60,9,4,44,24,8.8,7.2,65,65,65,65,65,65,7,7,7,7,7,7,,,,,,,,,,,,
A Christmas Horror Story,0,0,5.7,49,0,,02/10/2015,99,79,27,344,229,68.8,58.2,8,4,38,27,7.6,7.2,70,22,127,76,63.5,52,8,5,15,12,7.5,6.5,,,,,,,,,,,,
A Coffee In Berlin,300000,146135,7.4,63,23501,,13/06/2014,83,82,39,273,188,68.25,59,9,5,30,23,7.5,7,63,63,63,63,63,63,6,6,6,6,6,6,63,63,63,63,63,63,6,6,6,6,6,6
A Farewell to Fools,3000000,0,5.4,34,0,PG-13,07/03/2014,85,93,1,367,121,73.4,52.6,9,1,38,17,7.6,6.6,,,,,,,,,,,,,34,34,34,34,34,34,4,4,4,4,4,4
A Field in England,316000,30716,6.3,73,9498,,07/02/2014,90,81,43,373,258,74.6,63,8,4,38,27,7.6,6.8,87,43,87,43,87,64,7,5,7,5,7,7,87,63,87,63,87,71,7,5,7,5,7,7
A Five Star Life,0,306387,6.3,51,15996,,18/07/2014,85,74,51,329,255,65.8,60,9,5,42,33,8.4,7.8,51,51,51,51,51,51,8,8,8,8,8,8,79,51,154,102,77,63,8,6,16,13,8,8
A Girl Like Her,0,0,7.1,54,0,PG-13,27/03/2015,91,82,27,197,135,65.6667,55.6667,9,4,23,16,7.6667,7,54,54,54,54,54,54,6,6,6,6,6,6,54,54,54,54,54,54,6,6,6,6,6,6
A Girl Walks Home Alone at Night,0,0,7,81,0,,21/11/2014,99,84,24,408,235,81.6,62.4,9,3,40,24,8,7.2,81,61,81,61,81,71,7,6,7,6,7,7,81,61,81,61,81,71,7,6,7,6,7,7
A Haunted House 2,4000000,17314483,4.7,17,8843875,R,18/04/2014,86,89,11,341,77,68.2,39.2,10,1,43,14,8.6,6,40,17,40,17,40,28,5,2,5,2,5,4,68,11,132,28,66,35,9,2,15,4,7.5,5
A Hologram for the King,30000000,4198126,6.1,58,1138605,R,22/04/2016,98,95,25,379,217,75.8,58.4,9,4,40,27,8,6.8,77,52,77,52,77,62,9,6,9,6,9,8,77,43,148,95,74,60,9,5,16,11,8,7.5
A Kind of Murder,0,1806,5.2,50,978,R,16/12/2016,95,84,15,362,140,72.4,51.4,9,1,43,17,8.6,6.4,91,37,91,37,91,69,10,4,10,4,10,8,95,50,95,50,95,72,9,5,9,5,9,8
A LEGO Brickumentary,1000000,100240,6.8,51,43285,G,31/07/2015,93,83,8,248,138,62,49,9,1,26,17,6.5,5.75,81,51,153,102,76.5,64,8,5,15,10,7.5,7,86,51,158,102,79,66.5,7,2,14,7,7,6
A Letter to Momo,0,0,7.3,65,0,,23/07/2014,120,65,48,195,178,65,61.6667,7,5,17,15,5.6667,5.3333,65,59,65,59,65,62,8,5,8,5,8,7,65,59,65,59,65,62,8,5,8,5,8,7
A Little Chaos,0,551609,6.5,51,181791,R,26/06/2015,117,87,28,292,232,58.4,52.8,10,3,39,31,7.8,7.2,87,28,87,28,87,59,10,3,10,3,10,7,74,48,125,99,62.5,55.5,8,6,15,13,7.5,7
A Long Way Down,0,13093,6.4,34,1426,R,11/07/2014,96,81,11,348,128,69.6,49.4,10,3,42,23,8.4,7,59,34,59,34,59,47,7,7,7,7,7,7,87,34,144,68,72,57,9,6,16,13,8,7
A Man Called Ove,0,3358518,7.7,70,54608,PG-13,30/09/2016,116,78,58,358,329,71.6,68.6,8,6,37,34,7.4,7.4,70,70,70,70,70,70,7,7,7,7,7,7,70,70,140,140,70,70,7,7,14,14,7,7
A Merry Friggin Christmas,5000000,0,5.1,28,0,PG-13,07/11/2014,88,89,1,296,78,74,47.5,10,1,36,9,9,6.25,28,28,28,28,28,28,6,6,6,6,6,6,86,28,86,28,86,64,8,6,8,6,8,8
A Million Ways to Die in the West,40000000,42615685,6.1,44,16797385,R,30/05/2014,116,93,16,428,104,85.6,52.8,9,1,42,14,8.4,6.6,78,18,78,18,78,54,7,3,7,3,7,6,78,18,140,62,70,52.5,7,3,14,8,7,6
A Monster Calls,43000000,3730982,7.5,76,30909,PG-13,23/12/2016,108,95,18,329,114,82.25,56.5,9,3,34,16,8.5,7.25,,,,,,,,,,,,,76,76,152,152,76,76,8,8,16,16,8,8
A Most Violent Year,20000000,5749134,7,79,188000,R,31/12/2014,125,95,31,410,222,82,61.6,8,1,39,24,7.8,7,87,76,87,76,87,81,7,7,7,7,7,7,87,76,87,76,87,81,7,7,7,7,7,7
A Most Wanted Man,15000000,17237244,6.8,73,2686526,R,25/07/2014,122,90,25,382,242,76.4,65,9,3,38,28,7.6,7,78,54,78,54,78,65,8,5,8,5,8,7,85,55,169,112,84.5,72,8,6,15,12,7.5,7
A Murder in the Park,0,0,7.3,70,0,PG-13,26/06/2015,91,70,60,350,340,70,69,8,7,36,35,7.2,7.2,70,70,140,140,70,70,7,7,14,14,7,7,,,,,,,,,,,,
A Night in Old Mexico,2000000,0,5.7,45,0,,16/05/2014,103,100,10,365,145,73,52,10,2,44,20,8.8,6.8,45,45,45,45,45,45,5,5,5,5,5,5,84,45,84,45,84,58,8,5,8,5,8,7
A People Uncounted,0,390,7.9,72,390,,16/05/2014,99,,,,,,,,,,,,,72,71,72,71,72,72,6,6,6,6,6,6,72,71,72,71,72,72,6,6,6,6,6,6
A Perfect Day,0,0,6.8,60,0,R,15/01/2016,106,86,18,376,145,75.2,54.4,9,1,42,15,8.4,6.4,72,60,72,60,72,65,9,7,9,7,9,8,72,60,132,120,66,62.5,9,7,16,14,8,7.5
A Royal Night Out,0,197973,6.5,58,100847,PG-13,04/12/2015,97,87,26,320,162,80,58.5,9,2,33,18,8.25,6.5,77,55,77,55,77,62,7,6,7,6,7,7,58,55,116,113,58,57.5,7,6,13,12,6.5,6.5
A Street Cat Named Bob,8000000,35070,7.4,54,35070,,18/11/2016,103,80,33,265,163,66.25,51.75,9,5,34,20,8.5,7.5,71,23,71,23,71,49,9,2,9,2,9,7,54,54,108,108,54,54,8,8,16,16,8,8
A Summers Tale,0,196927,7.7,91,11000,,20/06/2014,113,91,44,455,408,91,85.8,8,4,36,32,7.2,7,91,49,91,49,91,76,10,6,10,6,10,8,91,49,91,49,91,76,10,6,10,6,10,8
A Tale of Love and Darkness,4000000,569381,6,55,37170,PG-13,19/08/2016,95,82,24,343,219,68.6,56.2,9,4,36,24,7.2,6.2,81,30,81,30,81,56,9,5,9,5,9,7,81,30,153,77,76.5,57,9,5,18,10,9,6.5
A Walk Among the Tombstones,28000000,25977365,6.5,57,12758780,R,19/09/2014,114,93,22,384,175,76.8,54.4,10,4,45,26,9,7.2,85,36,85,36,85,64,9,6,9,6,9,7,85,36,142,88,71,59.5,9,6,16,13,8,7
A Walk in the Woods,8000000,29467855,6.3,51,8400000,R,02/09/2015,104,90,18,436,131,87.2,56.6,10,1,47,15,9.4,7,66,25,66,25,66,51,8,5,8,5,8,6,94,47,151,101,75.5,65.5,10,5,17,12,8.5,7
A War,0,121577,7.1,81,28997,R,12/02/2016,115,82,41,306,211,76.5,64,8,5,31,24,7.75,7.25,82,60,82,60,82,73,9,7,9,7,9,8,82,60,82,60,82,73,9,7,9,7,9,8
ABCs of Death 2,0,7016,5.5,53,4022,,31/10/2014,125,81,37,134,90,67,56,10,6,16,12,8,6.5,80,48,153,101,76.5,64,8,3,14,9,7,7,76,43,152,86,76,59,8,5,16,10,8,6
About Elly (2009),0,106662,8.1,87,15000,,08/04/2015,119,95,33,359,266,89.75,78.75,9,5,36,27,9,8.25,95,69,95,69,95,84,9,7,9,7,9,8,95,69,182,156,91,85.5,9,7,18,16,9,8.5
About Last Night,12500000,48637684,6.1,62,27838201,R,14/02/2014,100,75,11,212,71,70.6667,47,10,1,28,10,9.3333,6,79,29,79,29,79,58,9,4,9,4,9,7,64,23,126,76,63,53,8,5,15,11,7.5,6.5
Above and Beyond,5000000,0,7.7,69,0,,30/01/2015,90,70,22,232,153,58,47.5,10,2,36,21,9,7.75,,,,,,,,,,,,,79,22,140,44,70,40.5,9,3,18,8,9,7
Absolutely Fabulous: The Movie,0,4750497,5.4,59,1861118,R,22/07/2016,91,81,50,81,50,81,64,7,4,7,4,7,7,,,,,,,,,,,,,,,,,,,,,,,,
Accidental Love,26000000,0,4,20,0,PG-13,20/03/2015,100,87,20,294,100,58.8,38,9,1,33,9,6.6,5.6,90,20,90,20,90,67,9,2,9,2,9,8,81,20,101,40,50.5,37,8,2,10,4,5,4.5
Addicted,5000000,17382982,5.2,32,7485346,R,10/10/2014,106,75,32,163,96,54.3333,45.6667,8,2,16,6,5.3333,5,,,,,,,,,,,,,64,32,96,64,48,41,9,2,11,4,5.5,4
Adult Beginners,0,104415,5.6,57,36657,R,24/04/2015,92,81,18,361,155,72.2,53.4,9,3,40,21,8,6.6,89,26,89,26,89,65,8,4,8,4,8,7,79,30,143,87,71.5,58.5,8,4,15,11,7.5,6.5
Adult World,0,16740,6.2,61,4368,R,14/02/2014,97,89,18,357,156,71.4,50.4,10,1,42,22,8.4,6.8,83,51,83,51,83,60,9,7,9,7,9,8,61,61,61,61,61,61,7,7,7,7,7,7
Advantageous,0,0,6.3,59,0,,26/06/2015,90,95,32,316,171,79,58.25,10,3,35,23,8.75,7.5,59,59,59,59,59,59,8,8,8,8,8,8,72,44,131,103,65.5,57.5,8,6,16,14,8,8
Aferim!,1250000,104706,7.7,84,15892,,22/01/2016,108,97,63,447,381,89.4,81.8,10,4,44,34,8.8,7.8,84,84,84,84,84,84,8,8,8,8,8,8,84,84,168,168,84,84,8,8,16,16,8,8
Afflicted,0,0,6.3,56,0,R,04/04/2014,85,88,56,256,224,64,60,8,7,29,28,7.25,7.25,56,56,112,112,56,56,7,7,14,14,7,7,56,56,112,112,56,56,7,7,14,14,7,7
After the Dark,0,0,5.7,37,0,R,07/02/2014,107,81,30,330,171,66,47.4,9,3,40,23,8,6.2,37,37,37,37,37,37,6,6,6,6,6,6,37,37,37,37,37,37,6,6,6,6,6,6
Against the Sun,0,0,6.5,43,0,PG,23/01/2015,100,96,12,306,97,76.5,52,9,4,33,22,8.25,7.25,55,43,55,43,55,50,8,6,8,6,8,7,55,43,98,86,49,46.5,8,6,16,14,8,7.5
Age of Uprising: The Legend of Michael Kohlhaas,0,0,6.1,51,0,,30/05/2014,122,85,28,367,191,73.4,58,10,4,40,27,8,7,,,,,,,,,,,,,51,51,51,51,51,51,6,6,6,6,6,6
Air,0,0,5.1,33,0,PG-13,14/08/2015,95,76,16,333,127,66.6,45.4,9,1,41,15,8.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,
Alan Partridge,0,152211,7,66,12664,R,04/04/2014,90,85,19,368,202,73.6,59.4,10,1,41,21,8.2,7,66,66,66,66,66,66,7,7,7,7,7,7,89,27,178,54,89,54,8,3,16,6,8,6
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,66950483,6.2,54,18360230,PG,10/10/2014,81,84,11,247,96,82.3333,58,10,3,28,13,9.3333,7,76,54,76,54,76,67,9,5,9,5,9,7,54,54,108,108,54,54,6,6,12,12,6,6
Alice Through the Looking Glass,170000000,77037635,6.2,34,28112000,PG,27/05/2016,113,92,14,443,139,88.6,60.4,10,2,44,20,8.8,7.2,,,,,,,,,,,,,95,34,156,68,78,57,9,6,15,12,7.5,7
Alien Abduction,0,0,4.8,47,0,,04/04/2014,85,55,47,243,235,48.6,47.6,6,5,26,25,5.2,5.2,47,47,47,47,47,47,5,5,5,5,5,5,47,47,47,47,47,47,8,5,8,5,8,8
Alien Outpost,4000000,0,4.8,26,0,,30/01/2015,90,67,5,236,109,47.2,34.6,9,1,34,21,6.8,6,26,26,26,26,26,26,5,5,5,5,5,5,26,26,52,52,26,26,5,5,10,10,5,5
All Cheerleaders Die,0,0,5.1,45,0,,13/06/2014,89,45,45,135,135,45,45,6,6,18,18,6,6,64,16,109,61,54.5,45.5,10,1,16,4,8,5.5,64,16,109,61,54.5,45.5,10,1,16,4,8,5.5
All Things Must Pass,0,166872,7.2,73,19001,,16/10/2015,94,73,59,292,278,73,71.25,8,8,32,32,8,8,81,20,81,20,81,52,8,1,8,1,8,7,75,73,75,73,75,74,9,8,9,8,9,9
Alléluia,2896000,6001,6.2,72,121,,17/07/2015,93,86,36,398,258,79.6,66.2,10,3,42,23,8.4,7.4,72,41,72,41,72,55,7,5,7,5,7,6,86,41,158,93,79,62.5,8,5,15,10,7.5,7
Allied,85000000,40069087,7.1,60,12701743,R,23/11/2016,124,99,28,334,184,83.5,65,10,2,34,18,8.5,7,86,28,86,28,86,57,9,1,9,1,9,7,82,30,82,30,82,57,9,4,9,4,9,7
Almost Christmas,17000000,41715860,6,55,15564000,PG-13,11/11/2016,111,87,11,238,57,79.3333,50.3333,10,1,28,7,9.3333,7,55,34,55,34,55,43,6,4,6,4,6,5,55,34,55,34,55,43,6,4,6,4,6,5
Almost Human,0,0,8.1,40,0,,21/02/2014,80,82,23,358,149,71.6,50,10,3,44,22,8.8,6.6,,,,,,,,,,,,,43,39,43,39,43,42,9,8,9,8,9,9
Aloft,8000000,52961,5.3,34,2012,R,22/05/2015,112,94,15,382,143,76.4,52.8,9,5,40,25,8,6.6,68,34,68,34,68,51,7,5,7,5,7,5,68,34,68,34,68,51,7,5,7,5,7,5
Aloha,37000000,20991497,5.4,40,9670235,PG-13,29/05/2015,105,96,17,461,103,92.2,56.4,10,3,46,18,9.2,7.4,90,40,90,40,90,63,9,4,9,4,9,7,90,40,90,40,90,63,9,4,9,4,9,7
Already Tomorrow in Hong Kong,0,0,6.5,54,0,,12/02/2016,78,74,17,299,171,59.8,48,9,2,35,20,7,6,69,54,69,54,69,64,6,5,6,5,6,6,69,54,138,108,69,64,6,5,12,10,6,6
Alvin and the Chipmunks: The Road Chip,90000000,85884815,5.1,33,14287159,PG,18/12/2015,92,90,12,376,126,75.2,47.8,9,2,43,18,8.6,6.6,33,19,33,19,33,26,7,4,7,4,7,5,41,33,82,66,41,38,5,4,10,8,5,4
Always Shine,0,11891,5.7,72,4211,,25/11/2016,85,72,40,216,164,72,62.6667,10,5,25,15,8.3333,6.3333,72,40,72,40,72,58,8,3,8,3,8,6,72,40,72,40,72,56,10,5,10,5,10,7
Amateur Night,0,99770,5.8,38,36402,R,05/08/2016,89,79,32,331,214,66.2,53.4,9,3,39,27,7.8,7.2,63,28,121,62,60.5,51,9,3,16,7,8,6,58,38,58,38,58,51,9,3,9,3,9,7
American Heist,10000000,0,5.2,23,0,R,24/07/2015,94,88,1,228,47,76,46,10,1,28,3,9.3333,6.3333,49,23,49,23,49,36,7,3,7,3,7,7,55,23,55,23,55,39,6,3,6,3,6,6
American Hero,990000,0,4.9,42,0,,11/12/2015,86,76,2,271,106,54.2,36.4,9,2,36,21,7.2,6,,,,,,,,,,,,,,,,,,,,,,,,
American Honey,0,662786,7,79,71203,R,30/09/2016,163,90,27,406,290,81.2,69.4,9,5,39,31,7.8,7,81,70,81,70,81,76,9,7,9,7,9,8,81,70,81,70,81,76,9,7,9,7,9,8
American Pastoral,0,541457,6.1,43,149038,R,21/10/2016,108,83,19,394,147,78.8,53.6,9,1,44,18,8.8,7,83,27,83,27,83,57,9,1,9,1,9,7,71,39,71,39,71,54,7,5,7,5,7,6
American Sniper,58800000,350123553,7.3,72,676909,R,25/12/2014,132,90,17,234,161,78,65.3333,9,4,23,18,7.6667,7,90,46,90,46,90,68,9,6,9,6,9,8,92,63,164,135,82,75,8,7,15,14,7.5,7
American Ultra,28000000,14434604,6.1,50,5454284,R,21/08/2015,96,95,14,411,144,82.2,54.6,9,3,44,18,8.8,6.6,50,48,50,48,50,49,6,6,6,6,6,6,69,36,69,36,69,47,7,5,7,5,7,6
Amira & Sam,0,31849,6.2,58,3756,,30/01/2015,90,85,8,359,157,71.8,50.6,10,2,47,25,9.4,7.6,58,37,58,37,58,48,8,8,8,8,8,8,58,37,58,37,58,48,8,8,8,8,8,8
Amy,0,0,7,85,0,,03/07/2015,128,76,17,305,120,61,44.2,9,2,39,19,7.8,6.2,,,,,,,,,,,,,88,17,216,96,72,54,9,2,24,13,8,6.3333
And So It Goes,18000000,15155772,5.8,38,4642329,PG-13,25/07/2014,94,100,22,416,150,83.2,53.8,9,3,42,23,8.4,7.2,88,14,88,14,88,58,9,4,9,4,9,7,67,25,67,25,67,45,9,5,9,5,9,6
Anesthesia,0,22386,6.1,55,6747,R,08/01/2016,90,82,29,377,208,75.4,60,9,4,40,29,8,7.2,86,27,86,27,86,55,9,2,9,2,9,7,86,27,86,27,86,55,9,2,9,2,9,7
Anita,0,0,5.2,68,0,,21/03/2014,95,80,28,80,28,80,57,9,2,9,2,9,7,,,,,,,,,,,,,,,,,,,,,,,,
Anna,0,0,8.4,42,0,,06/06/2014,99,92,26,231,151,77,64.6667,9,6,26,23,8.6667,7.6667,,,,,,,,,,,,,,,,,,,,,,,,
Annabelle,6500000,35040000,5.4,37,37134255,R,03/10/2014,99,96,25,245,125,81.6667,58,10,5,25,16,8.3333,7,52,11,52,11,52,33,8,3,8,3,8,7,62,37,62,37,62,50,7,5,7,5,7,7
Annie,50000000,57100000,6.5,33,510632,,19/12/2014,118,85,22,294,125,73.5,52,9,4,33,20,8.25,7,86,39,86,39,86,63,9,5,9,5,9,6,81,33,120,72,60,44.5,9,5,15,11,7.5,7
Anomalisa,8000000,3442820,7.2,88,135222,R,30/12/2015,90,88,22,264,78,88,61.3333,10,2,28,8,9.3333,7.3333,90,56,90,56,90,77,9,7,9,7,9,8,90,56,180,112,90,77,9,7,18,14,9,8
Ant-Man,130000000,180191634,7.3,64,57225526,PG-13,17/07/2015,117,94,18,427,164,85.4,58.2,10,3,44,22,8.8,7.4,64,45,64,45,64,52,9,4,9,4,9,8,86,64,167,128,83.5,72.5,9,7,18,14,9,8
Antarctica: A Year on Ice,1000000,287761,7.6,69,32238,PG,28/11/2014,91,69,69,345,345,69,69,8,8,40,40,8,8,69,69,69,69,69,69,8,8,8,8,8,8,,,,,,,,,,,,
Anthropoid,0,2959288,7.2,59,1233519,R,12/08/2016,120,94,23,310,138,77.5,55,9,3,33,20,8.25,6.75,65,54,65,54,65,59,8,7,8,7,8,8,65,54,124,111,62,58.5,8,7,15,14,7.5,7.5
Any Day,0,0,5,14,0,,01/05/2015,100,94,8,377,77,75.4,42.8,9,2,41,16,8.2,6.4,14,14,14,14,14,14,3,3,3,3,3,3,14,14,28,28,14,14,3,3,6,6,3,3
Approaching the Unknown,0,0,4.8,53,0,R,03/06/2016,90,95,18,417,149,83.4,57,9,3,43,15,8.6,6.8,53,53,53,53,53,53,3,3,3,3,3,3,53,53,106,106,53,53,3,3,6,6,3,3
Appropriate Behavior,0,0,6.7,73,0,,16/01/2015,86,85,28,379,242,75.8,65.8,10,2,40,28,8,7,73,73,73,73,73,73,7,7,7,7,7,7,73,73,73,73,73,73,7,7,7,7,7,7
April and the Extraordinary World,12400000,294313,7.4,85,11413,PG,25/03/2016,105,89,36,433,231,86.6,68.6,9,2,42,22,8.4,7.2,85,85,170,170,85,85,7,7,14,14,7,7,85,40,170,125,85,77.5,7,7,14,14,7,7
Are You Here,0,0,5.3,37,0,R,22/08/2014,114,88,14,236,115,59,43,9,1,30,17,7.5,6.25,37,37,37,37,37,37,6,6,6,6,6,6,37,37,37,37,37,37,6,6,6,6,6,6
Arrival,47000000,100501349,8,81,24000000,PG-13,11/11/2016,116,98,9,455,131,91,61.8,10,2,46,20,9.2,7.2,82,61,82,61,82,72,9,6,9,6,9,8,81,35,162,116,81,68,8,5,16,13,8,7.5
Art and Craft,0,215300,7.1,68,22100,,19/09/2014,89,,,,,,,,,,,,,77,36,149,97,74.5,64.5,8,5,16,12,8,7.5,,,,,,,,,,,,
"As Above, So Below",5000000,21197315,6.2,38,10284110,R,29/08/2014,93,75,27,260,141,65,49.25,9,5,29,22,7.25,6,,,,,,,,,,,,,53,38,53,38,53,43,9,6,9,6,9,6
Ashby,0,4631,6.4,46,4631,R,25/09/2015,100,86,7,314,69,78.5,52,10,4,35,20,8.75,7,63,46,63,46,63,55,7,6,7,6,7,6,63,46,63,46,63,55,7,6,7,6,7,6
Assassins Creed,125000000,54645723,5.9,36,10278225,PG-13,21/12/2016,115,96,14,457,142,91.4,61,9,2,45,16,9,7,71,36,71,36,71,58,7,6,7,6,7,7,71,32,130,68,65,48,9,4,16,10,8,6
Assassination,1000000,0,3.7,64,0,R,07/08/2015,140,96,11,291,64,72.75,44,9,2,34,12,8.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
At Middleton,2500000,49953,6.5,60,3458,R,31/01/2014,99,85,22,238,75,79.3333,53.3333,10,1,27,9,9,6.6667,60,60,60,60,60,60,6,6,6,6,6,6,60,60,120,120,60,60,6,6,12,12,6,6
At the Devils Door,0,0,4.8,47,0,,12/09/2014,91,87,17,278,97,69.5,45,9,3,33,13,8.25,6.5,54,47,54,47,54,50,7,5,7,5,7,6,54,47,54,47,54,50,7,5,7,5,7,6
Autómata,7000000,0,6.1,37,0,R,10/10/2014,109,85,18,388,130,77.6,50.2,10,2,43,19,8.6,6.6,37,37,37,37,37,37,6,6,6,6,6,6,37,37,74,74,37,37,6,6,12,12,6,6
Avengers: Age of Ultron,250000000,458991599,7.4,66,191271109,PG-13,01/05/2015,141,93,24,429,145,85.8,58.6,10,1,46,17,9.2,7,95,48,95,48,95,66,9,6,9,6,9,8,95,23,178,71,89,61.5,9,2,18,8,9,7.5
Awake: The Life of Yogananda,0,1017328,7.3,54,18885,PG,10/10/2014,87,96,21,231,113,77,57.6667,10,2,26,16,8.6667,7.6667,77,48,150,102,75,62.5,9,2,18,9,9,8,,,,,,,,,,,,
