title,budget,gross,imdb_score,meta_score,opening_weekend,rated,release_date,run_time,max_meta_actor_score,min_meta_actor_score,sum_max_meta_actor_score,sum_min_meta_actor_score,avg_meta_high_actor_score,avg_meta_avg_actor_score,max_user_actor_score,min_user_actor_score,sum_max_user_actor_score,sum_min_user_actor_score,avg_user_high_actor_score,avg_user_median_actor_score,max_meta_director_score,min_meta_director_score,sum_max_meta_director_score,sum_min_meta_director_score,avg_meta_high_director_score,avg_meta_avg_director_score,max_user_director_score,min_user_director_score,sum_max_user_director_score,sum_min_user_director_score,avg_user_high_director_score,avg_user_median_director_score,max_meta_writer_score,min_meta_writer_score,sum_max_meta_writer_score,sum_min_meta_writer_score,avg_meta_high_writer_score,avg_meta_avg_writer_score,max_user_writer_score,min_user_writer_score,sum_max_user_writer_score,sum_min_user_writer_score,avg_user_high_writer_score,avg_user_median_writer_score
Dheepan,0,247597,7.2,76,20249,R,06/05/2016,115,76,54,380,358,76,74.2,7,6,35,34,7,7,90,64,90,64,90,76,9,6,9,6,9,8,90,64,180,128,90,76,9,6,18,12,9,8
Diablo,36000000,26183197,6.1,35,527730,R,08/01/2016,90,90,18,362,125,72.4,47.8,9,2,44,20,8.8,7,72,23,72,23,72,49,9,4,9,4,9,7,65,28,121,67,60.5,47.5,9,5,15,11,7.5,6
Digging for Fire,0,119364,5.9,69,25000,R,21/08/2015,85,93,14,398,168,79.6,59.8,9,4,39,25,7.8,6.6,78,36,78,36,78,61,9,3,9,3,9,6,78,30,144,66,72,57,9,3,16,9,8,6.5
Dinosaur 13,0,0,7.2,66,0,PG,15/08/2014,95,66,66,330,330,66,66,7,7,35,35,7,7,66,66,66,66,66,66,7,7,7,7,7,7,,,,,,,,,,,,
Dior and I,0,1028000,7.3,70,45772,R,10/04/2015,90,70,34,174,174,58,58,8,5,21,21,7,7,70,68,70,68,70,69,8,7,8,7,8,8,70,68,70,68,70,69,8,7,8,7,8,8
Diplomacy,0,230880,7.1,72,8518,,15/10/2014,84,92,30,403,213,80.6,66.2,10,4,44,30,8.8,7.4,72,43,72,43,72,64,8,7,8,7,8,7,72,43,144,115,72,68,8,7,15,14,7.5,7
Dirty Grandpa,27500000,35537564,6,21,11111875,R,22/01/2016,102,93,17,412,100,82.4,52,9,1,40,16,8,6.2,89,21,89,21,89,53,7,4,7,4,7,6,77,21,77,21,77,49,9,4,9,4,9,9
Disorder,0,12000,6.1,66,12000,,12/08/2016,98,85,24,291,200,72.75,65,10,3,32,21,8,7.25,83,66,83,66,83,73,8,7,8,7,8,7,83,28,152,94,76,63.5,8,4,15,11,7.5,7
Divergent,85000000,150832203,6.7,48,54607747,PG-13,21/03/2014,139,84,23,334,138,66.8,46.8,9,2,39,19,7.8,6,68,33,68,33,68,52,9,4,9,4,9,7,65,25,122,73,61,48,7,5,13,11,6.5,6
Do I Sound Gay?,0,57000,5.5,65,14944,,10/07/2015,77,65,65,65,65,65,65,5,5,5,5,5,5,65,65,65,65,65,65,5,5,5,5,5,5,65,65,65,65,65,65,5,5,5,5,5,5
Do You Believe?,2300000,12985267,6.1,22,3591282,PG-13,20/03/2015,120,94,14,195,80,48.75,32.75,10,4,27,19,6.75,5.75,51,22,51,22,51,38,7,5,7,5,7,6,,,,,,,,,,,,
Doctor Strange,165000000,232597113,7.6,72,85058311,PG-13,04/11/2016,115,96,23,445,149,89,61,10,4,46,23,9.2,7.6,72,16,72,16,72,47,8,3,8,3,8,6,72,16,144,32,72,46.5,8,3,16,8,8,6.5
Dog Eat Dog,0,0,4.6,53,0,,04/11/2016,93,92,12,395,151,79,57.6,10,2,41,18,8.2,6.4,93,31,93,31,93,63,9,3,9,3,9,7,78,45,131,98,65.5,56.5,9,6,15,12,7.5,7
Dolphin Tale 2,36000000,42019483,6.4,58,15873397,PG,12/09/2014,107,86,18,332,105,83,52.5,10,1,38,10,9.5,6.75,,,,,,,,,,,,,82,35,82,35,82,58,9,5,9,5,9,8
Dom Hemingway,0,518134,6.2,55,29276,R,02/04/2014,93,94,23,320,156,80,60.5,9,3,32,21,8,7.25,65,49,65,49,65,56,9,6,9,6,9,7,65,49,65,49,65,56,9,6,9,6,9,7
Don Peyote,0,0,3.7,14,0,,16/05/2014,98,87,14,381,70,76.2,47.8,10,3,44,15,8.8,6.4,73,14,87,28,43.5,30,8,3,11,6,5.5,4.5,73,14,87,28,43.5,30,8,3,11,6,5.5,4.5
Don Verdean,0,0,5.4,39,0,PG-13,11/12/2015,90,88,18,418,146,83.6,56.6,10,2,44,19,8.8,6.8,80,28,80,28,80,50,8,5,8,5,8,7,80,28,144,56,72,47.5,8,5,16,10,8,7
Dont Breathe,9900000,89210468,7.2,71,26411706,R,26/08/2016,88,82,52,153,123,76.5,69,9,6,16,13,8,7,71,57,71,57,71,64,7,7,7,7,7,7,71,57,71,57,71,64,7,7,7,7,7,7
Dont Think Twice,0,4417983,6.8,83,92835,R,22/07/2016,92,84,25,416,169,83.2,58.2,10,3,44,22,8.8,7,83,31,83,31,83,63,8,4,8,4,8,7,83,31,83,31,83,63,8,4,8,4,8,7
Dope,7000000,17474107,7.3,72,6100010,R,19/06/2015,103,72,11,360,194,72,57.8,9,4,42,27,8.4,7.6,72,38,72,38,72,58,9,6,9,6,9,8,72,38,72,38,72,58,9,6,9,6,9,8
Dracula Untold,70000000,55942830,6.3,40,23514615,PG-13,10/10/2014,92,90,19,404,130,80.8,51.8,9,3,43,20,8.6,6.6,,,,,,,,,,,,,44,25,88,50,44,36,7,5,14,10,7,7
Draft Day,25000000,28831145,6.8,54,9783603,,11/04/2014,109,70,22,301,216,60.2,52,10,2,40,26,8,7,83,35,83,35,83,55,9,3,9,3,9,8,54,43,108,86,54,49,7,4,14,8,7,7
